702,543
14,860
144,515
37,444
81,305
3,281
3,178
2,789
19,296
20,163
19,353
12,131
27,568
11,454
13,268
2,534
3,784
4,525
523
855
11,283
42,541
188
8,775
24,442
26,822
66,258
3,203
2,540
8,957
8,457
5,185
10,744
4,623
7,695
9,007
8,176
6,577
7,503
3,547
5,856
2,611
3,109
7,126
5,986
2,160
3,590
9,102
2,642
13,215
51,022
18,756
1,473
2,047
7,956
1,234
528
1,788
7,428
2,278
13,465
1,469
1,414
1,410
1,837
4,524
26,101
1,920
465
1,267
6,435
2,024
1,043
4,702
9,729
1,958
2,543
2,134
1,402
535
744
1,349
11,294
9,444
8,009
2,624
4,580
10,378
4,908
1,073
1,810
31,444
50,290
58,182
83,892
102,449
27,879
31 011
4,741
1 315
3,578
45,608
3,846
8,312
7,633
5,913
18,699
61,032
20,780
16,084
19,939
129,073
96,088
17,754
19,024
11,249
44,693
89,095
24,947
6,989
41,565
23,898
26,716
15,074
2,905
6,859
1,057
3,273
4,667
2,611
4,719
4,504
3,502
2 189
14,273
20,044
27,584
2,720
1,370
2,455
6,908
9,144
17,857
30,598
27,781
30,319
33,842
7,633
20,317
5,100
7,866
6,127
4,777
7,329
3,743
21,086
6,550
4,518
2,530
1,858
1,274
1,620
5,584
2,441
1,577
1,963
2,675
2,048
2,202
2,360
3,640
5,723
5,916
3,163
4,502
5,082
6,204
14,887
13,179
13,707
5,717
6,773
3,026
1,351
6,490
2,114
3,248
1,596
27,202
14,037
44,922
62,019
46,557
36,198
54,316
12,757
26,676
2,357
14,138
10,586
4,148
6,585
10,439
5,894
1,593
2,979
2,442
1,476
1,319
2,228
3,726
6,935
22,692
44,576
113,920
23,025
9,769
9,090
2,511
2,104
6,051
5,713
10,702
5,178
1,856
1,342
3,614
1,200
1,246
952
14,425
937
10,368
1,702
5,988
1,836
287,428
17,131
4,043
5,775
12,061
18,919
3,117
2,883
13,017
10,881
937
1,051
15,875
8,497
2,501
25,213
5,282
39,032
29,032
3,867
378
8,131
29,816
2,889
502
1,629
2,230
768
1,290
3,965
2,560
12,097
1,766
2,117
5,204
5,246
2,951
2,901
22,116
3,521
9,527
5,875
7,207
211,246
24,357
13,051
4,937
978
6,973
2,556
5,623
2,046
6,319
16,213
8,000
13,820
4,098
861
2,508
23,625
2,630
19,892
14,849
2,159
1,389
469
872
2,467
1,264
3,840
1,090
584
6,800
10,108
5,963
4,659
5,291
3,263
11,891
9,623
2,026
74,541
24,845
20,446
2,104
6,154
10,527
2,986
4,243
1,394
1,121
1,076
3,994
2,220
6,781
3,496
1,138
14,930
5,685
2,273
2,876
1,890
2,132
2,912
4,919
1,233
2,938
968
1,037
1,204
3,276
3,971
2,696
1,330
1,137
991
2,911
951
2,267
10,199















































































































